size,iterations,n_threads,time
5000,100,2,13.663113
5000,100,2,13.511433
5000,100,2,13.548328
5000,100,2,13.527996
5000,100,2,13.566094
5000,100,2,13.567834
5000,100,2,13.560157
5000,100,2,13.579054
5000,100,2,13.548255
5000,100,2,13.54495
8000,100,2,34.554982
8000,100,2,34.442709
8000,100,2,34.415526
8000,100,2,34.457078
8000,100,2,34.487837
8000,100,2,34.434594
8000,100,2,34.41125
8000,100,2,34.542609
8000,100,2,34.52454
8000,100,2,34.475897
12000,100,2,77.803042
12000,100,2,77.777178
12000,100,2,77.972459
12000,100,2,71.417609
12000,100,2,71.296843
12000,100,2,71.326363
12000,100,2,71.634685
12000,100,2,71.239792
12000,100,2,71.355204
12000,100,2,71.267928
15000,100,2,111.158739
15000,100,2,111.320748
15000,100,2,111.031607
15000,100,2,111.328712
15000,100,2,111.552617
15000,100,2,111.313759
15000,100,2,111.037572
15000,100,2,111.270225
15000,100,2,111.105458
15000,100,2,111.491841
5000,100,4,6.4972
5000,100,4,6.50109
5000,100,4,6.505362
5000,100,4,6.49932
5000,100,4,6.501735
5000,100,4,6.499418
5000,100,4,6.504041
5000,100,4,6.499374
5000,100,4,6.497725
5000,100,4,6.495866
8000,100,4,16.541563
8000,100,4,16.541945
8000,100,4,16.530179
8000,100,4,16.523958
8000,100,4,16.534563
8000,100,4,16.537489
8000,100,4,16.528564
8000,100,4,16.519808
8000,100,4,16.516137
8000,100,4,16.528545
12000,100,4,37.235478
12000,100,4,37.215205
12000,100,4,37.226447
12000,100,4,37.213666
12000,100,4,37.249863
12000,100,4,37.272175
12000,100,4,37.179449
12000,100,4,37.204026
12000,100,4,37.229392
12000,100,4,37.344117
15000,100,4,58.204478
15000,100,4,58.170039
15000,100,4,58.175979
15000,100,4,58.188526
15000,100,4,58.163948
15000,100,4,58.233071
15000,100,4,58.191404
15000,100,4,58.167378
15000,100,4,58.18882
15000,100,4,58.176121
5000,100,8,3.547768
5000,100,8,3.54534
5000,100,8,3.540827
5000,100,8,3.541055
5000,100,8,3.543125
5000,100,8,3.542902
5000,100,8,3.54309
5000,100,8,3.544797
5000,100,8,3.542197
5000,100,8,3.543389
8000,100,8,9.019526
8000,100,8,9.01453
8000,100,8,9.002019
8000,100,8,9.015126
8000,100,8,9.011504
8000,100,8,9.015893
8000,100,8,9.014952
8000,100,8,9.007348
8000,100,8,9.012039
8000,100,8,9.011078
12000,100,8,20.244447
12000,100,8,20.247386
12000,100,8,20.242694
12000,100,8,20.241842
12000,100,8,20.254022
12000,100,8,20.261998
12000,100,8,20.24803
12000,100,8,20.239458
12000,100,8,20.226319
12000,100,8,20.252423
15000,100,8,31.600406
15000,100,8,31.613458
15000,100,8,31.59918
15000,100,8,31.617238
15000,100,8,31.608743
15000,100,8,31.615947
15000,100,8,31.595656
15000,100,8,31.595281
15000,100,8,31.610758
15000,100,8,31.627181
5000,100,10,2.887136
5000,100,10,2.87943
5000,100,10,2.88779
5000,100,10,2.886443
5000,100,10,2.885625
5000,100,10,2.886569
5000,100,10,2.884835
5000,100,10,2.888246
5000,100,10,2.884911
5000,100,10,2.886925
8000,100,10,7.328637
8000,100,10,7.327334
8000,100,10,7.333423
8000,100,10,7.326567
8000,100,10,7.327507
8000,100,10,7.334472
8000,100,10,7.325747
8000,100,10,7.332291
8000,100,10,7.332703
8000,100,10,7.331431
12000,100,10,16.439626
12000,100,10,16.447422
12000,100,10,16.441058
12000,100,10,16.448366
12000,100,10,16.449772
12000,100,10,16.452693
