size,iterations,n_threads,time
500,50,2,0.067264
500,50,2,0.066816
500,50,2,0.066226
500,50,2,0.066443
500,50,2,0.066258
500,50,2,0.066307
500,50,2,0.066249
500,50,2,0.065824
500,50,2,0.066402
500,50,2,0.066455
1000,50,2,0.280094
1000,50,2,0.264233
1000,50,2,0.263917
1000,50,2,0.264339
1000,50,2,0.281338
1000,50,2,0.285996
1000,50,2,0.27377
1000,50,2,0.273245
1000,50,2,0.272601
1000,50,2,0.273262
1000,50,2,0.274419
1000,50,2,0.273158
1000,50,2,0.277651
1000,50,2,0.289803
1000,50,2,0.264398
1000,50,2,0.27213
1000,50,2,0.264271
1000,50,2,0.264811
1000,50,2,0.264729
1000,50,2,0.280283
2000,50,2,1.113774
2000,50,2,1.101735
2000,50,2,1.132122
2000,50,2,1.170341
2000,50,2,1.101896
2000,50,2,1.105794
2000,50,2,1.152837
2000,50,2,1.109581
2000,50,2,1.104699
2000,50,2,1.103331
2000,50,2,1.124607
2000,50,2,1.120437
2000,50,2,1.158827
2000,50,2,1.105331
2000,50,2,1.100858
2000,50,2,1.108127
2000,50,2,1.159389
2000,50,2,1.113148
2000,50,2,1.10553
2000,50,2,1.171243
3000,50,2,2.480366
3000,50,2,2.51105
3000,50,2,2.521125
3000,50,2,2.485608
3000,50,2,2.517284
3000,50,2,2.512635
3000,50,2,2.491088
3000,50,2,2.479397
3000,50,2,2.480958
3000,50,2,2.501188
3000,50,2,2.48094
3000,50,2,2.489176
3000,50,2,2.48924
3000,50,2,2.481064
3000,50,2,2.592417
3000,50,2,2.506514
3000,50,2,2.528267
3000,50,2,2.512025
3000,50,2,2.50609
3000,50,2,2.478413
500,100,2,0.135135
500,100,2,0.127305
500,100,2,0.135662
500,100,2,0.134286
500,100,2,0.127258
500,100,2,0.12748
500,100,2,0.127065
500,100,2,0.128035
500,100,2,0.138297
500,100,2,0.134552
500,100,2,0.127184
500,100,2,0.135104
500,100,2,0.134151
500,100,2,0.141428
500,100,2,0.136091
500,100,2,0.128029
500,100,2,0.127877
500,100,2,0.126613
500,100,2,0.127075
500,100,2,0.127192
1000,100,2,0.507479
