size,iterations,nodes,omp_threads,time
9000,500,6,12,8.508315
9000,500,6,12,8.470843
9000,500,6,12,8.480905
9000,500,6,12,8.490771
9000,500,6,12,8.485983
9000,500,6,12,8.484687
10000,500,6,12,10.268688
10000,500,6,12,10.301754
10000,500,6,12,10.278814
10000,500,6,12,10.296589
10000,500,6,12,10.288539
10000,500,6,12,10.282174
10000,500,6,12,10.264438
10000,500,6,12,10.242776
10000,500,6,12,10.26467
10000,500,6,12,10.250396
500,50,2,4,0.072097
500,50,2,4,0.067975
500,50,2,4,0.066656
500,50,2,4,0.067439
500,50,2,4,0.067889
500,50,2,4,0.067828
500,50,2,4,0.067735
500,50,2,4,0.072067
500,50,2,4,0.068007
500,50,2,4,0.067887
1000,50,2,4,0.282301
1000,50,2,4,0.266713
1000,50,2,4,0.267234
1000,50,2,4,0.282762
1000,50,2,4,0.276569
1000,50,2,4,0.26593
1000,50,2,4,0.282384
1000,50,2,4,0.265881
1000,50,2,4,0.266856
1000,50,2,4,0.266461
2000,50,2,4,1.078977
2000,50,2,4,1.067507
2000,50,2,4,1.071751
2000,50,2,4,1.070945
2000,50,2,4,1.068718
2000,50,2,4,1.09019
2000,50,2,4,1.09935
2000,50,2,4,1.140555
2000,50,2,4,1.067353
2000,50,2,4,1.097516
3000,50,2,4,2.472876
3000,50,2,4,2.444846
3000,50,2,4,2.416885
3000,50,2,4,2.414892
3000,50,2,4,2.477202
3000,50,2,4,2.419423
3000,50,2,4,2.439937
3000,50,2,4,2.41463
3000,50,2,4,2.420459
3000,50,2,4,2.439463
500,100,2,4,0.126241
500,100,2,4,0.133467
500,100,2,4,0.127038
500,100,2,4,0.133958
500,100,2,4,0.132588
500,100,2,4,0.12632
500,100,2,4,0.132719
500,100,2,4,0.126185
500,100,2,4,0.125553
500,100,2,4,0.125669
1000,100,2,4,0.529172
1000,100,2,4,0.544314
1000,100,2,4,0.49838
1000,100,2,4,0.495946
1000,100,2,4,0.525616
1000,100,2,4,0.542499
1000,100,2,4,0.537435
1000,100,2,4,0.49594
1000,100,2,4,0.496968
1000,100,2,4,0.51794
2000,100,2,4,2.001198
